State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
VIC,Traralgon,392,361,1980,1599,4308,6161,20,2135,513,2604,4859,24935
VIC,Traralgon East,33,26,167,128,328,448,0,119,23,100,346,1728
VIC,Traralgon South,11,21,46,42,104,107,0,28,7,40,148,563
VIC,Travancore,375,74,754,145,113,474,0,55,55,220,215,2483
VIC,Trawalla,8,3,6,9,31,42,0,12,0,12,18,138
VIC,Trawool,0,3,10,4,15,32,0,3,3,20,20,108
VIC,Traynors Lagoon,0,0,0,3,5,10,0,4,0,9,5,26
VIC,Tremont,5,0,11,7,7,8,0,9,0,16,17,77
VIC,Trentham,59,36,138,95,157,231,0,78,34,193,158,1178
VIC,Trentham East,5,12,25,19,15,35,0,5,4,14,19,149
VIC,Tresco,0,3,5,10,33,53,0,24,0,20,45,208
VIC,Tresco West,0,0,3,10,21,42,0,16,9,19,39,156
VIC,Trida,5,0,4,0,10,18,0,0,0,9,15,62
VIC,Truganina,1672,283,2898,1630,1449,3701,7,644,480,2109,5813,20687
VIC,Tubbut,0,0,0,0,0,0,0,3,0,4,0,11
VIC,Tuerong,12,3,32,34,46,98,0,24,7,31,62,353
VIC,Tulkara,0,0,0,0,0,0,0,0,0,5,0,5
VIC,Tullamarine,125,85,577,498,965,1872,0,617,223,671,976,6607
VIC,Tungamah,0,0,13,18,47,120,0,76,4,56,63,405
VIC,Turoar,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Turriff,0,0,0,0,4,8,0,4,0,0,9,28
VIC,Turriff East,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Turtons Creek,0,0,5,4,0,3,0,0,0,6,8,30
VIC,Tutye,0,0,0,0,5,9,0,0,0,0,4,22
VIC,Tyaak,0,0,4,9,18,16,0,4,10,8,14,70
VIC,Tyabb,41,49,240,309,691,908,4,209,82,207,587,3337
VIC,Tyenna (Vic.),0,0,0,0,0,0,0,0,0,0,0,5
VIC,Tyers,8,11,62,76,168,200,3,45,22,72,145,825
VIC,Tylden,15,14,59,44,96,121,0,37,14,30,104,533
VIC,Tynong,4,5,28,22,94,112,0,48,13,53,85,457
VIC,Tynong North,8,3,39,38,76,108,0,34,8,43,75,427
VIC,Tyntynder,0,4,7,9,25,41,0,16,0,13,36,154
VIC,Tyntynder South,0,6,7,18,49,60,3,18,5,52,57,268
VIC,Tyrendarra,4,0,12,10,43,51,0,24,0,33,31,213
VIC,Tyrendarra East,0,0,3,0,0,10,0,0,0,0,9,23
VIC,Tyrrell,0,0,0,0,0,3,0,5,0,0,0,13
VIC,Tyrrell Downs,0,0,0,0,3,8,0,0,0,0,0,10
VIC,Ullina,0,0,3,3,6,8,0,8,0,3,5,31
VIC,Ullswater,0,0,5,8,7,9,0,6,0,0,11,44
VIC,Ultima,0,0,4,15,30,42,0,21,0,25,33,174
VIC,Ultima East,0,0,0,0,0,3,0,0,0,0,0,0
VIC,Ulupna,0,0,0,3,0,0,0,5,0,12,7,25
VIC,Undera,3,4,18,19,61,144,0,55,11,40,86,443
VIC,Underbool,0,0,13,9,16,85,0,25,0,29,34,219
VIC,Upotipotpon,0,0,0,10,12,15,0,3,0,3,3,56
VIC,Upper Ferntree Gully,116,82,393,313,569,794,0,217,82,225,628,3414
VIC,Upper Gundowring,0,3,8,11,17,27,0,13,0,3,18,95
VIC,Upper Lurg,4,0,10,10,23,15,0,5,7,18,23,119
VIC,Upper Plenty,3,5,31,18,58,92,0,28,5,42,56,338
VIC,Upper Ryans Creek,0,0,9,5,9,7,0,3,0,0,7,35
VIC,Upton Hill,0,0,5,4,0,6,0,4,0,4,5,25
VIC,Upwey,224,194,891,662,1065,1610,0,274,154,308,1270,6648
VIC,Valencia Creek,0,0,14,8,34,51,0,9,3,16,18,152
VIC,Vasey,4,0,3,3,4,13,0,3,0,0,12,47
VIC,Vaughan,5,3,6,0,4,10,0,0,3,14,12,62
VIC,Vectis,0,0,13,16,22,53,0,16,4,21,25,176
VIC,Ventnor (Vic.),23,22,105,82,138,212,0,54,27,63,125,858
VIC,Venus Bay (Vic.),19,14,71,55,119,193,0,64,24,294,97,937
VIC,Vermont,668,249,1808,943,966,2339,4,538,293,440,2186,10447
VIC,Vermont South,814,261,2150,1000,926,3106,4,807,362,472,1775,11680
VIC,Vervale,0,0,0,0,3,10,0,13,0,6,4,39
VIC,Vesper,0,0,3,5,12,12,0,8,0,0,3,42
VIC,Victoria Point (Vic.),0,0,0,0,0,4,0,6,0,5,3,21
VIC,Victoria Valley (Vic.),0,0,8,0,14,20,0,6,0,8,14,78
VIC,Viewbank,454,195,1196,505,692,1494,0,465,173,331,1411,6917
VIC,Vinifera,0,0,15,7,30,46,0,14,4,13,31,164
VIC,Violet Town,8,20,72,70,146,225,0,103,30,99,111,875
VIC,Vite Vite,0,0,3,0,3,13,0,4,0,0,11,39
VIC,Vite Vite North,0,0,3,0,4,10,0,5,0,9,0,26
VIC,W Tree,0,3,11,4,3,9,0,0,0,3,4,50
VIC,Waaia,0,3,9,28,75,103,0,46,11,24,87,383
VIC,Waanyarra,0,6,4,0,5,10,0,0,0,3,0,24
VIC,Waarre,0,0,0,0,3,0,0,0,0,6,0,18
VIC,Wabonga,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Waggarandall,5,0,4,0,6,11,0,6,0,3,4,41
VIC,Wahgunyah,9,12,64,60,190,340,0,116,18,102,185,1098
VIC,Wahring,0,0,11,8,8,19,0,14,3,15,9,88
VIC,Wail,0,0,0,5,7,12,0,4,0,5,9,39
VIC,Wairewa,3,0,7,7,12,12,0,20,0,11,14,85
VIC,Waitchie,0,0,3,0,10,6,0,0,0,11,16,51
VIC,Wal Wal,0,0,0,5,8,4,0,0,0,4,8,31
VIC,Waldara,14,17,79,55,71,172,0,36,17,37,125,618
VIC,Walhalla,0,0,5,3,4,6,0,3,0,4,0,23
VIC,Walhalla East,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Walkerville (Vic.),3,4,10,11,11,17,0,3,0,13,17,82
